EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
883266214,F,7,1,2546,26,2,1075L,At/Near Standard,2568,42,At/Near Standard,2548,47,At/Near Standard,2463,83,At/Near Standard,2543,71,1,2553,23,2,975Q,At/Near Standard,2564,29,At/Near Standard,2542,50,At/Near Standard,2527,58
647384325,F,7,1,2564,25,3,1110L,At/Near Standard,2551,43,At/Near Standard,2548,39,At/Near Standard,2622,81,At/Near Standard,2597,62,1,2530,26,2,915Q,Below Standard,2506,36,At/Near Standard,2518,52,At/Near Standard,2618,62
375542691,M,7,1,2362,36,1,695L,Below Standard,2365,65,Below Standard,2305,80,Below Standard,2422,70,Below Standard,2353,83,1,2359,36,1,470Q,Below Standard,2396,39,Below Standard,2243,170,Below Standard,2279,102
769842879,M,7,1,2565,26,3,1115L,At/Near Standard,2580,42,At/Near Standard,2602,49,At/Near Standard,2438,93,At/Near Standard,2550,62,1,2590,23,3,1070Q,Above Standard,2623,34,At/Near Standard,2506,61,At/Near Standard,2592,45
137234243,F,7,1,2628,25,3,1245L,Above Standard,2661,58,At/Near Standard,2608,39,Above Standard,2709,84,At/Near Standard,2608,46,1,2525,25,2,900Q,Below Standard,2516,33,At/Near Standard,2539,44,At/Near Standard,2531,64
527751239,F,7,1,2400,30,1,775L,Below Standard,2435,43,Below Standard,2434,51,Below Standard,2250,102,Below Standard,2397,77,1,2412,31,1,605Q,Below Standard,2426,35,Below Standard,2371,116,Below Standard,2350,96
294638557,F,7,1,2523,25,2,1025L,At/Near Standard,2514,43,At/Near Standard,2574,35,Below Standard,2389,90,At/Near Standard,2439,84,1,2464,26,1,740Q,Below Standard,2465,33,At/Near Standard,2512,47,Below Standard,2245,191
296943242,M,7,1,2577,25,3,1140L,At/Near Standard,2606,50,At/Near Standard,2569,36,At/Near Standard,2589,81,At/Near Standard,2528,80,1,2597,21,3,1085Q,At/Near Standard,2581,29,At/Near Standard,2597,40,Above Standard,2631,42
263237767,M,7,1,2513,25,2,1005L,At/Near Standard,2494,45,At/Near Standard,2514,41,At/Near Standard,2530,70,At/Near Standard,2535,64,1,2527,26,2,905Q,At/Near Standard,2536,34,At/Near Standard,2493,59,At/Near Standard,2535,54
227432557,F,7,1,2574,24,3,1130L,At/Near Standard,2576,40,Above Standard,2642,45,At/Near Standard,2487,79,At/Near Standard,2495,70,1,2579,24,3,1040Q,At/Near Standard,2582,31,At/Near Standard,2586,44,At/Near Standard,2546,74
977649646,M,7,1,2456,27,1,890L,Below Standard,2430,43,Below Standard,2462,47,At/Near Standard,2455,85,At/Near Standard,2518,65,1,2527,24,2,905Q,At/Near Standard,2523,36,At/Near Standard,2570,37,Below Standard,2383,113
485681756,F,7,1,2586,24,3,1155L,At/Near Standard,2583,43,At/Near Standard,2594,39,At/Near Standard,2541,73,At/Near Standard,2604,58,1,2522,26,2,890Q,At/Near Standard,2525,34,At/Near Standard,2457,78,At/Near Standard,2555,53
248651537,M,7,1,2351,33,1,670L,Below Standard,2372,61,Below Standard,2359,53,Below Standard,2334,85,Below Standard,2322,76,1,2387,36,1,540Q,Below Standard,2376,45,Below Standard,2413,77,Below Standard,2401,90
663881415,F,7,1,2373,32,1,715L,Below Standard,2381,56,Below Standard,2382,59,Below Standard,2375,69,Below Standard,2342,78,1,2441,28,1,680Q,Below Standard,2453,33,Below Standard,2441,78,Below Standard,2350,112
476528697,F,7,1,2575,24,3,1135L,At/Near Standard,2594,44,Below Standard,2436,66,At/Near Standard,2620,78,Above Standard,2696,54,1,2563,22,2,1000Q,At/Near Standard,2585,29,At/Near Standard,2536,50,At/Near Standard,2527,57
286965861,M,7,1,2484,27,2,945L,At/Near Standard,2554,39,Below Standard,2371,65,Below Standard,2401,83,At/Near Standard,2528,55,1,2525,25,2,900Q,At/Near Standard,2523,34,At/Near Standard,2525,47,At/Near Standard,2530,59
625725682,M,7,1,2430,27,1,835L,Below Standard,2422,48,Below Standard,2356,64,At/Near Standard,2549,74,Below Standard,2424,61,1,2426,30,1,640Q,Below Standard,2451,36,Below Standard,2246,170,Below Standard,2443,70
