EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
423136716,M,8,1,2548,25,2,1130L,Below Standard,2489,45,At/Near Standard,2601,45,At/Near Standard,2586,65,At/Near Standard,2540,60,1,2424,33,1,755Q,Below Standard,2443,43,Below Standard,2433,64,Below Standard,2337,101
758456956,F,8,1,2593,26,3,1225L,At/Near Standard,2575,45,Above Standard,2644,50,At/Near Standard,2584,66,At/Near Standard,2569,52,1,2551,29,2,1030Q,Below Standard,2528,39,At/Near Standard,2626,42,At/Near Standard,2477,74
787243663,M,8,1,2629,24,3,1305L,At/Near Standard,2622,41,Above Standard,2628,40,At/Near Standard,2619,77,Above Standard,2645,49,1,2658,20,4,1265Q,At/Near Standard,2631,35,Above Standard,2716,33,At/Near Standard,2605,44
741362795,F,8,1,2461,27,1,945L,Below Standard,2425,54,Below Standard,2430,47,At/Near Standard,2714,123,Below Standard,2433,66,1,2313,51,1,515Q,Below Standard,2318,63,Below Standard,2371,88,Below Standard,2190,180
229234847,F,8,1,2573,24,3,1185L,At/Near Standard,2550,46,At/Near Standard,2596,46,At/Near Standard,2665,80,At/Near Standard,2531,53,1,2500,33,1,920Q,At/Near Standard,2534,44,At/Near Standard,2363,150,At/Near Standard,2499,68
778263595,F,8,1,2451,25,1,925L,At/Near Standard,2505,43,Below Standard,2466,40,Below Standard,2378,100,Below Standard,2296,109,1,2468,33,1,850Q,Below Standard,2503,41,At/Near Standard,2486,82,Below Standard,2343,95
736234235,M,8,1,2564,25,2,1165L,At/Near Standard,2618,44,At/Near Standard,2541,40,At/Near Standard,2433,108,At/Near Standard,2568,50,1,2531,30,2,990Q,At/Near Standard,2545,42,At/Near Standard,2524,63,At/Near Standard,2505,66
737238874,M,8,1,2588,27,3,1215L,Above Standard,2681,52,At/Near Standard,2586,50,At/Near Standard,2507,77,At/Near Standard,2477,82,1,2634,21,3,1210Q,At/Near Standard,2627,32,Above Standard,2641,35,At/Near Standard,2637,46
714921384,M,8,1,2482,27,1,990L,Below Standard,2496,46,Below Standard,2492,44,At/Near Standard,2482,72,Below Standard,2419,83,1,2514,32,2,950Q,Below Standard,2499,46,At/Near Standard,2558,50,At/Near Standard,2480,73
464285333,M,8,1,2422,29,1,860L,Below Standard,2452,55,Below Standard,2426,46,Below Standard,2372,93,Below Standard,2403,68,1,2510,32,2,940Q,Below Standard,2492,40,At/Near Standard,2450,101,At/Near Standard,2603,66
