EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
363295577,F,4,1,2511,25,3,870L,Above Standard,2563,43,At/Near Standard,2497,46,Above Standard,2590,69,At/Near Standard,2339,95,1,2546,17,3,910Q,Above Standard,2535,26,Above Standard,2574,34,Above Standard,2539,34
547533664,F,4,1,2487,25,3,820L,At/Near Standard,2508,42,At/Near Standard,2424,54,At/Near Standard,2310,126,Above Standard,2581,57,1,2424,18,2,525Q,Below Standard,2418,25,At/Near Standard,2474,40,Below Standard,2389,43
183455296,F,4,1,2331,29,1,480L,Below Standard,2217,99,Below Standard,2399,45,Below Standard,2321,76,Below Standard,2293,67,1,2378,20,1,380Q,Below Standard,2388,26,Below Standard,2370,40,Below Standard,2344,63
332523332,M,4,1,2605,29,4,1075L,Above Standard,2609,45,At/Near Standard,2559,63,Above Standard,2590,69,Above Standard,2654,65,1,2513,17,3,805Q,Above Standard,2537,23,At/Near Standard,2450,44,At/Near Standard,2505,33
789467329,F,4,1,2454,26,2,745L,At/Near Standard,2523,46,At/Near Standard,2464,51,Below Standard,2266,105,At/Near Standard,2420,54,1,2420,20,2,510Q,At/Near Standard,2470,26,Below Standard,2335,60,Below Standard,2364,54
644256126,F,4,1,2582,26,4,1025L,Above Standard,2579,41,Above Standard,2557,56,Above Standard,2613,78,Above Standard,2593,53,1,2524,17,3,840Q,Above Standard,2527,23,At/Near Standard,2502,36,Above Standard,2539,34
527523877,F,4,1,2482,26,3,810L,At/Near Standard,2427,46,At/Near Standard,2509,46,At/Near Standard,2494,79,At/Near Standard,2520,56,1,2493,17,3,745Q,At/Near Standard,2509,26,At/Near Standard,2474,40,At/Near Standard,2484,28
542568338,F,4,1,2349,26,1,520L,Below Standard,2363,42,Below Standard,2366,52,Below Standard,2316,63,Below Standard,2334,56,1,2240,41,1,EM60Q,Below Standard,2191,66,Below Standard,2231,95,Below Standard,2375,58
956822347,F,4,1,2558,25,4,975L,At/Near Standard,2479,41,Above Standard,2576,50,Above Standard,2600,80,Above Standard,2633,56,1,2502,18,3,770Q,At/Near Standard,2480,28,At/Near Standard,2523,35,At/Near Standard,2518,37
945332851,F,4,1,2329,31,1,475L,Below Standard,2321,62,Below Standard,2321,60,At/Near Standard,2439,75,Below Standard,2282,63,1,2292,30,1,105Q,Below Standard,2299,38,Below Standard,2294,57,Below Standard,2244,114
279767814,M,4,1,2463,26,2,765L,At/Near Standard,2498,37,At/Near Standard,2442,60,At/Near Standard,2501,70,At/Near Standard,2402,57,1,2499,16,3,760Q,At/Near Standard,2499,22,At/Near Standard,2500,36,At/Near Standard,2498,32
274828443,M,4,1,2401,25,1,630L,Below Standard,2379,46,Below Standard,2404,43,At/Near Standard,2465,64,Below Standard,2377,56,1,2452,19,2,615Q,At/Near Standard,2465,26,At/Near Standard,2425,43,At/Near Standard,2449,38
786775249,F,4,1,2345,29,1,510L,Below Standard,2281,74,Below Standard,2391,52,Below Standard,2321,85,Below Standard,2354,55,1,2369,24,1,350Q,Below Standard,2364,33,Below Standard,2352,52,Below Standard,2394,44
917243533,M,4,1,2457,27,2,755L,At/Near Standard,2430,47,At/Near Standard,2527,54,At/Near Standard,2560,84,Below Standard,2280,97,1,2527,15,3,850Q,Above Standard,2543,22,Above Standard,2538,33,At/Near Standard,2482,35
984134833,F,4,1,2469,24,2,780L,At/Near Standard,2460,38,At/Near Standard,2531,57,At/Near Standard,2445,81,At/Near Standard,2438,50,1,2484,17,2,710Q,At/Near Standard,2524,29,At/Near Standard,2463,32,At/Near Standard,2451,34
978929347,F,4,1,2788,52,4,1300L,Above Standard,2701,65,Above Standard,2758,107,Above Standard,2760,122,Above Standard,2867,112,1,2606,19,4,1075Q,Above Standard,2588,28,Above Standard,2669,55,Above Standard,2598,34
529627672,M,4,1,2319,28,1,455L,Below Standard,2297,61,Below Standard,2307,47,Below Standard,2304,100,Below Standard,2354,49,1,2374,23,1,365Q,Below Standard,2385,28,Below Standard,2310,76,Below Standard,2374,49
597852465,M,4,1,2544,25,4,945L,Above Standard,2548,44,At/Near Standard,2535,44,At/Near Standard,2568,77,At/Near Standard,2540,51,1,2505,18,3,780Q,At/Near Standard,2518,25,At/Near Standard,2492,34,At/Near Standard,2492,41
213414344,F,4,1,2434,28,2,705L,Below Standard,2375,52,At/Near Standard,2432,46,At/Near Standard,2526,77,At/Near Standard,2472,66,1,2492,17,3,740Q,At/Near Standard,2476,26,Above Standard,2555,36,At/Near Standard,2460,32
941777154,M,4,1,2516,27,3,880L,At/Near Standard,2536,45,At/Near Standard,2419,64,At/Near Standard,2568,69,At/Near Standard,2547,57,1,2480,16,2,700Q,At/Near Standard,2450,25,Above Standard,2544,36,At/Near Standard,2477,29
936521635,M,4,1,2364,27,1,550L,Below Standard,2352,44,At/Near Standard,2416,53,At/Near Standard,2436,78,Below Standard,2280,68,1,2510,17,3,795Q,At/Near Standard,2508,25,At/Near Standard,2533,34,At/Near Standard,2490,35
